"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"unknown team","ADC",6,"33%",,24,22,23,2.1,"57.3%","29.3%","19.3%","17%",-388,-505,-3,8.5,"28.8%",380,"20.1%","20.6%",283,"25.0%",0,0.25,0.08,0.26
,"Lundqvist Lightside","Jungle",6,"50%",,23,23,37,2.6,"65.2%","25.0%","29.9%","33%",-470,-497,-6.3,5,"13.0%",369,"14.9%","14.3%",218,"18.3%",0,0.04,0.04,0.24
,"unknown team","Middle",12,"17%",,51,57,64,2,"59.6%","26.4%","17.4%","17%",-410,-470,-11.5,6.8,"24.9%",535,"22.0%","22.8%",240,"22.7%",0,0.3,0.03,0.11
,"unknown team","Support",12,"25%",,7,58,108,2,"71.0%","4.3%","21.3%","25%",-169,-37,-2.5,0.9,"2.5%",168,"8.6%","7.7%",98,"9.3%",0,1,0.23,0.21
,"Espergærde eSport","Support",6,"33%",,5,15,36,2.7,"59.4%","7.2%","15.6%","33%",145,71,-4,0.8,"2.3%",190,"9.8%","9.3%",99,"9.1%",0,1.04,0.28,0.25
,"unknown team","Top",6,"17%",,13,30,28,1.4,"51.3%","16.3%","19.0%","0%",-605,-465,-9.7,6.9,"21.5%",428,"18.8%","18.1%",221,"20.1%",0,0.29,0.09,0.09
"2Axes","DMG Esports","ADC",8,"38%","0%",46,31,44,2.9,"62.9%","32.2%","20.5%","13%",-392,-68,-4.6,8.4,"31.4%",589,"23.1%","25.1%",310,"25.1%",0,0.3,0.06,0.19
"Abagnale","NYYRIKKI","Support",11,"64%","60%",6,43,132,3.2,"73.4%","3.2%","27.9%","18%",-300,-228,5,1.1,"2.8%",138,"6.1%","5.5%",113,"9.5%",0,1.38,0.36,0.25
"Addusto","XAL Esports","Top",6,"33%",,30,24,32,2.6,"52.5%","25.4%","18.3%","0%",117,306,4,7.7,"27.5%",665,"28.2%","28.3%",277,"24.1%",0,0.32,0.1,0.1
"Antwere","UniQ Esports Club","Jungle",6,"17%",,7,28,39,1.6,"61.3%","9.3%","20.3%","33%",-696,-636,-11.5,4.7,"12.7%",304,"15.0%","15.7%",163,"15.5%",0,0.17,0.19,0.29
"Apollonia","Vanir","Middle",5,"0%",,1,18,5,0.3,"20.7%","3.4%","16.8%","0%",-552,-298,-8,7.4,"25.3%",402,"25.0%","24.5%",170,"20.1%",0,0.32,0.15,0.04
"Atmo","Bastu Five","Top",7,"43%",,16,18,34,2.8,"47.2%","15.1%","15.5%","0%",-6,90,1.6,6.8,"20.8%",460,"19.6%","18.0%",209,"18.5%",0,0.47,0.16,0.11
"Backlund","Dusty","Middle",18,"94%","22%",103,61,124,3.7,"54.3%","24.6%","26.3%","17%",347,133,7.8,8.4,"24.0%",666,"23.3%","23.8%",316,"22.2%",0,0.26,0.07,0.17
"Bobas","Espergærde eSport","Jungle",6,"33%",,14,13,25,3,"56.5%","20.3%","13.5%","50%",143,-114,-1.3,6.8,"24.4%",346,"16.7%","16.7%",232,"21.6%",0,0.43,0.16,0.52
"Carlsen","Astralis Talent","Top",20,"65%","45%",84,43,126,4.9,"51.5%","20.6%","15.2%","15%",209,264,3.1,7.9,"26.3%",544,"21.9%","20.0%",278,"22.2%",0,0.28,0.12,0.16
"Cast","Blade Edge","Jungle",6,"33%",,26,26,52,3,"60.9%","20.3%","20.0%","67%",-315,-368,-12.3,5.6,"20.0%",488,"16.7%","16.7%",231,"19.9%",1,0.29,0.11,0.3
