"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Riddle Esports","Jungle",3,"100%","0%",9,1,28,37,"75.5%","18.4%","4.5%","0%",41,274,14.7,6.8,"21.0%",302,"14.4%","15.6%",277,"21.2%",0,0.37,0.24,0.33
"Akabane","NORD Esports","Jungle",10,"40%","30%",29,37,84,3.1,"69.3%","17.8%","23.6%","30%",47,87,0.9,5.2,"15.0%",297,"13.7%","13.8%",205,"17.6%",0,0.37,0.3,0.34
"Banderas","Riddle Esports","Top",8,"75%","38%",9,20,46,2.8,"49.5%","8.1%","20.2%","13%",-95,27,-0.5,7.2,"18.9%",341,"18.5%","16.0%",229,"18.9%",0,0.34,0.12,0.13
"DenVoksne","Ruddy Esports","ADC",3,"0%","0%",9,15,19,1.9,"75.7%","24.3%","25.4%","0%",-490,-39,-3.7,8,"27.2%",583,"26.8%","27.3%",241,"25.9%",0,0.35,0.1,0.3
"Erolle","Verdant","Middle",11,"55%","36%",45,26,72,4.5,"66.5%","25.6%","15.1%","36%",-212,-260,-8.5,8.2,"27.0%",618,"26.8%","28.1%",260,"22.6%",1,0.23,0.07,0.1
"FireRain","Riddle Esports","Middle",8,"75%","75%",31,15,34,4.3,"58.6%","27.9%","15.2%","0%",7,241,5.3,9.2,"26.9%",534,"26.7%","27.7%",300,"24.0%",0,0.38,0.12,0.25
"Furuy","NORD Esports","Middle",10,"40%","50%",39,23,75,5,"69.9%","23.9%","14.6%","10%",157,26,0.4,8.6,"27.5%",636,"29.0%","31.0%",274,"23.8%",0,0.41,0.15,0.17
"jinjo","Riddle Esports","ADC",8,"75%","38%",42,23,44,3.7,"77.5%","37.8%","23.2%","13%",-504,-179,-7.8,8.7,"29.3%",608,"30.5%","32.7%",322,"25.7%",1,0.44,0.14,0.32
"Kasing","NORD Esports","Support",10,"40%","80%",11,30,107,3.9,"72.4%","6.7%","19.1%","20%",9,-8,-4.8,1,"2.7%",166,"7.7%","6.6%",114,"9.8%",0,1.69,0.43,0.4
"Kehvo","Verdant","ADC",11,"55%","82%",52,31,54,3.4,"60.2%","29.5%","18.0%","27%",50,-110,-5.1,8.4,"29.3%",602,"26.4%","28.1%",286,"25.3%",0,0.39,0.1,0.28
"kibah","Riddle Esports","Support",8,"75%","38%",4,24,84,3.7,"79.3%","3.6%","24.2%","13%",-158,-34,5.3,1.6,"5.0%",176,"9.2%","8.0%",124,"10.3%",0,1.43,0.33,0.33
"Klaj","Verdant","Support",11,"55%","27%",8,48,103,2.3,"63.1%","4.5%","27.9%","55%",168,76,0,1.1,"3.2%",135,"6.3%","5.5%",105,"9.2%",0,1.82,0.49,0.44
"Knighter","Ruddy Esports","Middle",3,"0%","33%",11,9,15,2.9,"70.3%","29.7%","15.3%","33%",235,222,16,9.7,"33.0%",716,"32.4%","34.9%",268,"27.7%",0,0.32,0.11,0.29
"Nash","Ruddy Esports","Support",3,"0%","67%",2,11,29,2.8,"83.8%","5.4%","18.6%","33%",-224,-162,2,1.3,"4.2%",136,"6.5%","6.2%",90,"9.3%",0,2.11,0.32,0.49
"Nille","Verdant","Top",11,"55%","45%",49,30,62,3.7,"63.1%","27.8%","17.4%","45%",465,298,9.7,7.7,"25.6%",519,"23.3%","20.7%",286,"25.3%",1,0.52,0.22,0.14
"NoName","Ruddy Esports","Jungle",3,"0%","100%",8,11,22,2.7,"81.1%","21.6%","18.6%","33%",-204,103,3.3,5,"14.1%",353,"15.4%","16.4%",171,"17.5%",0,0.35,0.25,0.3
"Rifty","Ruddy Esports","Top",3,"0%","100%",7,13,10,1.3,"45.9%","18.9%","22.0%","0%",-103,-15,1.7,6.6,"21.5%",438,"19.0%","15.1%",191,"19.6%",0,0.24,0.04,0.16
"Taxer","Verdant","Jungle",11,"55%","55%",22,37,104,3.4,"71.6%","12.5%","21.5%","64%",-83,-205,-6.1,4.9,"14.8%",388,"17.1%","17.5%",200,"17.6%",2,0.57,0.26,0.26
"Wao","NORD Esports","Top",10,"40%","50%",34,37,61,2.6,"58.3%","20.9%","23.6%","10%",-404,-345,-10.8,7,"23.7%",462,"20.2%","18.2%",254,"21.6%",0,0.28,0.03,0.13
"Winter 7","Riddle Esports","Jungle",5,"60%","80%",16,16,35,3.2,"82.3%","25.8%","20.8%","40%",186,53,0.8,6.3,"19.2%",292,"15.5%","15.7%",239,"21.0%",1,0.34,0.21,0.34
"Woolite","NORD Esports","ADC",10,"40%","40%",50,30,65,3.8,"70.6%","30.7%","19.1%","20%",495,276,12.9,8.9,"31.0%",634,"29.3%","30.5%",319,"27.1%",0,0.42,0.12,0.37
