"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"DenVoksne","Nativz","ADC",9,"67%","56%",48,12,45,7.8,"79.5%","41.0%","14.5%","0%",49,-53,1.4,10.4,"33.2%",683,"31.4%","33.5%",345,"29.2%",0,0.32,0.06,0.39
"Envy Carry","Ruddy Esports","Middle",4,"25%","100%",10,12,11,1.8,"51.2%","24.4%","18.8%","0%",-480,-411,-9.8,7.8,"26.9%",357,"17.5%","17.9%",229,"21.6%",0,0.43,0.19,0.14
"Guubi","Verdant","ADC",8,"25%","88%",26,27,36,2.3,"72.9%","30.6%","18.8%","25%",-96,-26,-5.1,9.6,"33.4%",657,"29.5%","30.7%",301,"27.3%",0,0.35,0.09,0.21
"Hid0","NORD Esports","ADC",11,"64%","18%",65,17,49,6.7,"66.3%","37.8%","13.7%","18%",-21,24,3.3,9.8,"33.4%",601,"26.8%","29.4%",334,"28.0%",0,0.33,0.07,0.3
"Indecision","NORD Esports","Jungle",11,"64%","55%",23,28,98,4.3,"70.3%","13.4%","22.6%","45%",-243,-296,-9,4.7,"12.8%",259,"11.6%","11.4%",186,"15.8%",0,0.28,0.23,0.4
"Kackos","NORD Esports","Top",11,"64%","64%",27,25,79,4.2,"61.6%","15.7%","20.2%","18%",-211,-270,-10.5,7.6,"23.8%",415,"19.2%","18.6%",246,"21.2%",0,0.36,0.06,0.14
"Knighter","Verdant","Middle",8,"25%","13%",29,32,25,1.7,"63.5%","34.1%","22.2%","38%",176,-45,8.3,9.3,"30.2%",604,"29.1%","28.9%",288,"26.6%",0,0.36,0.15,0.14
"Nille","Verdant","Top",8,"25%","25%",14,28,41,2,"64.7%","16.5%","19.4%","50%",6,142,3.9,7.4,"21.5%",511,"22.2%","21.3%",230,"21.0%",0,0.54,0.22,0.14
"OMON","NORD Esports","Middle",11,"64%","45%",47,28,75,4.4,"70.9%","27.3%","22.6%","45%",169,110,-2.7,8.9,"27.5%",766,"35.0%","34.8%",303,"26.0%",0,0.34,0.13,0.22
"pui","Ruddy Esports","Support",4,"25%","50%",1,12,31,2.7,"78.0%","2.4%","18.8%","50%",71,136,1.5,1.3,"3.4%",171,"9.4%","8.3%",100,"9.8%",0,1.79,0.47,0.33
"Seneca","NORD Esports","Support",11,"64%","45%",10,26,130,5.4,"81.4%","5.8%","21.0%","45%",-5,-24,-0.8,1.1,"2.5%",164,"7.4%","5.8%",108,"9.1%",0,1.38,0.4,0.35
"SHIHAN","Ruddy Esports","Top",4,"25%","75%",14,12,14,2.3,"68.3%","34.1%","18.8%","0%",387,553,13.8,7.7,"24.5%",482,"27.3%","24.8%",258,"25.9%",0,0.36,0.06,0.07
"Shikari","Nativz","Top",9,"67%","44%",26,17,45,4.2,"60.7%","22.2%","20.5%","0%",81,-42,3.3,8,"22.6%",495,"22.6%","20.2%",258,"21.9%",0,0.5,0.2,0.1
"Stefan","Nativz","Jungle",9,"67%","78%",14,17,68,4.8,"70.1%","12.0%","20.5%","11%",-56,290,8.2,6.4,"18.1%",377,"18.8%","20.2%",216,"18.3%",0,0.41,0.14,0.32
"Taxer","Verdant","Jungle",8,"25%","25%",11,23,50,2.7,"71.8%","12.9%","16.0%","88%",345,9,0.8,4.5,"11.9%",286,"13.7%","14.1%",173,"16.3%",2,0.29,0.26,0.31
"Toaster","Ruddy Esports","ADC",4,"25%","50%",10,12,15,2.1,"61.0%","24.4%","18.8%","50%",140,104,-2,8.5,"29.8%",586,"31.3%","33.5%",272,"26.1%",0,0.35,0.12,0.2
"Twiizt","Nativz","Support",9,"67%","44%",7,20,88,4.8,"81.2%","6.0%","24.1%","11%",-4,103,-0.8,1,"1.8%",101,"4.8%","4.4%",103,"8.7%",0,1.73,0.4,0.31
"Vladi","Nativz","Middle",9,"67%","67%",22,17,53,4.4,"64.1%","18.8%","20.5%","11%",-149,88,0.3,8.6,"24.2%",486,"22.4%","21.7%",256,"21.8%",0,0.5,0.2,0.27
"Wendel","Verdant","Support",8,"25%","63%",5,34,58,1.9,"74.1%","5.9%","23.6%","38%",-23,-151,1.3,1.2,"3.0%",112,"5.5%","4.9%",95,"8.7%",0,1.81,0.36,0.4
"Zapdo","Ruddy Esports","Jungle",4,"25%","25%",6,16,18,1.5,"58.5%","14.6%","25.0%","25%",103,144,4.8,5.1,"15.3%",267,"14.5%","15.5%",179,"16.7%",0,0.29,0.25,0.22
