"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adept","WAVE Esports","Support",18,"6%","44%",21,81,96,1.4,"68.0%","12.2%","24.2%","22%",85,55,9.3,1.7,"5.1%",200,"10.3%","9.0%",104,"10.5%",0,1.22,0.37,0.28
"Afroboi","E WIE EINFACH E-SPORTS","Jungle",18,"33%","61%",55,58,93,2.6,"67.0%","24.9%","20.6%","33%",-68,-110,-0.4,5.8,"19.0%",346,"18.5%","19.1%",211,"20.2%",1,0.26,0.25,0.26
"Alois","SK Gaming Prime","Top",18,"44%","50%",63,55,79,2.6,"49.3%","21.9%","18.8%","11%",248,187,8.5,8.5,"26.9%",495,"23.4%","21.6%",280,"24.3%",0,0.34,0.16,0.22
"BOSS","MOUZ","Top",18,"67%","39%",42,37,81,3.3,"44.4%","15.2%","17.4%","11%",2,-30,0.8,8,"23.9%",424,"20.0%","18.3%",255,"21.5%",0,0.43,0.17,0.2
"Bung","WAVE Esports","ADC",18,"6%","50%",49,63,66,1.8,"66.9%","28.5%","18.8%","22%",-492,-251,-17.1,7,"26.7%",454,"24.4%","25.1%",232,"23.4%",0,0.51,0.17,0.29
"D4nKa","GamerLegion","Jungle",18,"72%","56%",43,54,167,3.9,"75.0%","15.4%","29.5%","44%",-167,-286,-5.1,4.9,"12.7%",310,"13.7%","13.7%",196,"16.4%",1,0.26,0.22,0.36
"Decay","FC Schalke 04 Esports","Middle",18,"61%","50%",74,29,92,5.7,"66.9%","29.8%","13.5%","6%",-20,94,1.2,9,"26.8%",486,"26.3%","27.1%",287,"24.5%",1,0.4,0.13,0.24
"Dehaste","SK Gaming Prime","Middle",18,"44%","50%",49,68,115,2.4,"56.9%","17.0%","23.2%","33%",-106,-220,-2.8,8,"25.0%",519,"25.0%","25.5%",258,"22.6%",0,0.4,0.16,0.18
"Dreamer Ace","Unicorns of Love Sexy Edition","Support",18,"61%","56%",15,36,156,4.8,"61.1%","5.4%","17.3%","11%",-23,-172,1.3,1.4,"3.8%",130,"5.8%","5.2%",109,"9.2%",0,1.45,0.52,0.34
"Eckas","SK Gaming Prime","Jungle",18,"44%","44%",68,35,104,4.9,"59.7%","23.6%","11.9%","44%",227,298,6.5,6.6,"19.8%",370,"16.5%","18.2%",235,"20.1%",1,0.49,0.32,0.31
"ESCIK","GamerLegion","Middle",18,"72%","44%",55,33,128,5.5,"65.4%","19.6%","18.0%","17%",55,34,1.1,8.1,"23.3%",556,"25.3%","25.6%",255,"21.2%",0,0.39,0.15,0.17
"Fun K3y","PENTA 1860","ADC",18,"39%","44%",79,62,101,2.9,"67.4%","29.6%","20.1%","44%",35,155,11.4,9,"29.1%",514,"24.4%","25.5%",298,"25.9%",0,0.46,0.18,0.34
"Gadget","SK Gaming Prime","ADC",18,"44%","72%",98,54,99,3.6,"68.4%","34.0%","18.4%","33%",69,-53,-5.2,7.9,"26.3%",619,"28.2%","28.6%",289,"25.0%",0,0.41,0.12,0.28
"HungryPanda","FC Schalke 04 Esports","Support",18,"61%","44%",13,66,153,2.5,"66.9%","5.2%","30.7%","28%",-51,-121,-5.9,1.1,"2.6%",112,"6.4%","4.8%",103,"8.8%",0,1.71,0.63,0.41
"iBo","Unicorns of Love Sexy Edition","Top",18,"61%","44%",54,57,105,2.8,"56.8%","19.3%","27.4%","33%",-73,-83,-0.9,7.8,"23.5%",529,"24.6%","22.1%",256,"22.1%",0,0.49,0.2,0.23
"Isma","FC Schalke 04 Esports","Jungle",18,"61%","39%",58,42,115,4.1,"69.8%","23.4%","19.5%","33%",133,72,2.3,6.3,"18.2%",320,"17.2%","17.9%",224,"19.2%",0,0.28,0.23,0.3
"jinjo","GamerLegion","ADC",18,"72%","44%",96,31,102,6.4,"70.7%","34.3%","16.9%","33%",238,188,8.2,9.6,"34.3%",617,"27.8%","29.8%",335,"27.9%",2,0.38,0.14,0.27
"Kaymin","E WIE EINFACH E-SPORTS","Middle",18,"33%","72%",63,62,87,2.4,"67.9%","28.5%","22.1%","28%",-67,-246,-5.4,7.7,"25.8%",531,"27.8%","27.4%",245,"23.9%",1,0.44,0.17,0.14
"Keduii","Berlin International Gaming","ADC",18,"50%","44%",73,56,97,3,"70.5%","30.3%","21.0%","17%",289,160,7,9.2,"31.4%",584,"29.5%","30.9%",297,"26.4%",0,0.45,0.17,0.33
"Kxng","E WIE EINFACH E-SPORTS","ADC",18,"33%","39%",32,41,122,3.8,"69.7%","14.5%","14.6%","22%",-254,-201,-9.6,6.7,"23.9%",376,"18.7%","20.4%",217,"21.3%",0,0.43,0.15,0.14
"Kynetic","Eintracht Spandau","ADC",18,"67%","44%",61,29,94,5.3,"63.0%","24.8%","12.7%","17%",2,-54,-0.8,8.8,"27.9%",460,"23.3%","26.4%",295,"25.0%",0,0.52,0.23,0.22
"Lurox","Unicorns of Love Sexy Edition","Jungle",18,"61%","44%",59,45,108,3.7,"59.6%","21.1%","21.6%","17%",-155,-110,-3.2,5.7,"16.9%",331,"14.9%","15.5%",220,"18.6%",2,0.39,0.37,0.28
"Lyncas","MOUZ","Jungle",18,"67%","44%",44,53,147,3.6,"69.0%","15.9%","24.9%","44%",217,136,2.1,5.3,"14.8%",317,"15.2%","14.9%",202,"17.0%",1,0.42,0.33,0.31
"Marcel","E WIE EINFACH E-SPORTS","Top",18,"33%","39%",37,67,81,1.8,"53.4%","16.7%","23.8%","22%",-143,-84,-5.9,7.2,"25.6%",506,"26.9%","25.6%",227,"22.3%",0,0.38,0.08,0.13
"MiraiX","WAVE Esports","Jungle",18,"6%","50%",40,80,77,1.5,"68.0%","23.3%","23.9%","44%",-223,-40,-3.7,5.4,"17.2%",324,"16.9%","17.6%",191,"19.6%",0,0.36,0.27,0.22
"Mystiques","SK Gaming Prime","Support",18,"44%","39%",10,81,157,2.1,"58.0%","3.5%","27.6%","44%",46,130,1.6,0.9,"2.0%",149,"6.9%","6.0%",94,"8.1%",0,1.47,0.42,0.2
"Nomanz","MOUZ","Middle",18,"67%","56%",111,35,82,5.5,"69.7%","40.1%","16.4%","33%",225,194,1.6,9.1,"28.4%",671,"31.3%","33.6%",325,"27.2%",0,0.36,0.11,0.22
