"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Afroboi","FC Schalke 04 Esports","Jungle",18,"50%","44%",40,41,127,4.1,"75.9%","18.2%","20.3%","50%",-74,-110,-2.2,5.1,"14.7%",225,"11.1%","11.8%",192,"17.0%",2,0.25,0.25,0.31
"Alexx","MOUZ","Jungle",18,"50%","33%",40,51,146,3.6,"69.9%","15.0%","22.8%","39%",-110,-36,0.3,5.1,"14.8%",305,"13.6%","13.8%",196,"16.9%",2,0.25,0.24,0.33
"CaD","Unicorns of Love Sexy Edition","Jungle",18,"78%","50%",39,71,151,2.7,"65.5%","13.4%","27.2%","44%",79,46,2,4.9,"12.7%",329,"12.6%","12.5%",195,"15.5%",1,0.3,0.28,0.25
"Carlsen","MOUZ","Top",18,"50%","33%",38,35,89,3.6,"47.7%","14.3%","15.6%","11%",102,15,-1.2,8.2,"25.2%",443,"20.4%","19.0%",257,"22.0%",0,0.2,0.12,0.19
"D4nKa","E WIE EINFACH E-SPORTS","Jungle",18,"44%","50%",42,65,121,2.5,"71.8%","18.5%","23.4%","33%",-145,-111,-0.2,5.2,"13.8%",309,"14.7%","14.6%",196,"16.8%",2,0.26,0.2,0.24
"DizL","Eintracht Frankfurt","ADC",18,"17%","39%",90,61,96,3,"75.9%","36.7%","17.7%","22%",-383,-83,-1.7,9.4,"31.2%",707,"30.0%","30.8%",317,"27.3%",0,0.33,0.08,0.29
"Don Arts","Eintracht Frankfurt","Jungle",18,"17%","50%",25,94,147,1.8,"70.2%","10.2%","27.2%","33%",-50,-122,-1.8,4.9,"13.4%",339,"15.7%","15.0%",173,"15.6%",0,0.31,0.17,0.35
"FEBIVEN","SK Gaming Prime","Middle",17,"82%","35%",60,31,118,5.7,"64.0%","21.6%","20.8%","12%",26,-97,-1.4,8.7,"25.2%",631,"25.5%","26.0%",285,"22.5%",0,0.4,0.12,0.17
"Flamer","NNO Prime","Top",18,"11%","39%",26,36,54,2.2,"57.6%","18.7%","13.3%","0%",17,73,4.7,9.2,"27.7%",434,"22.8%","20.4%",270,"25.4%",0,0.37,0.11,0.09
"Fun K3y","Unicorns of Love Sexy Edition","ADC",17,"76%","41%",111,44,90,4.6,"74.4%","41.1%","18.0%","29%",346,129,8.6,9.9,"32.9%",847,"32.1%","34.3%",372,"28.8%",0,0.48,0.13,0.37
"HARPOON","Berlin International Gaming","ADC",18,"61%","67%",103,39,90,4.9,"68.7%","36.7%","15.8%","28%",-132,-140,-5.8,9.7,"35.1%",677,"29.3%","33.0%",347,"28.7%",0,0.4,0.08,0.28
"jinjo","GamerLegion","ADC",17,"29%","76%",79,49,93,3.5,"79.3%","36.4%","19.9%","12%",-206,-155,0.8,9.7,"34.0%",631,"30.8%","32.6%",317,"28.2%",0,0.37,0.12,0.31
"JNX","SK Gaming Prime","Top",17,"82%","65%",51,20,101,7.6,"54.7%","18.3%","13.4%","6%",113,-18,2.1,8.7,"24.7%",588,"22.9%","21.5%",285,"22.5%",0,0.42,0.09,0.16
"Kaymin","Berlin International Gaming","Middle",18,"61%","50%",62,61,129,3.1,"68.0%","22.1%","24.7%","22%",-65,-237,-5.2,8,"25.2%",564,"24.8%","24.0%",271,"22.5%",0,0.52,0.21,0.2
"Keduii","SK Gaming Prime","ADC",17,"82%","47%",98,30,106,6.8,"73.4%","35.3%","20.1%","53%",376,162,8.8,10.1,"34.7%",816,"31.9%","33.6%",365,"28.5%",0,0.42,0.13,0.32
"Kynetic","MOUZ","ADC",18,"50%","56%",74,44,112,4.2,"69.9%","27.8%","19.6%","44%",-83,-167,-2.2,8.9,"31.1%",594,"25.9%","26.0%",302,"25.8%",0,0.41,0.17,0.24
"Lamabear","NNO Prime","Jungle",18,"11%","67%",32,53,85,2.2,"84.2%","23.0%","19.6%","17%",-84,-105,-2.6,5.5,"16.0%",319,"16.7%","17.8%",191,"18.2%",2,0.36,0.28,0.28
"Lekcyc","Unicorns of Love Sexy Edition","Support",18,"78%","44%",15,50,209,4.5,"77.2%","5.2%","19.2%","28%",91,163,2.3,1,"1.7%",195,"7.7%","6.7%",125,"9.8%",0,1.65,0.38,0.27
"Leon","Berlin International Gaming","Support",18,"61%","33%",11,51,194,4,"73.0%","3.9%","20.6%","28%",-22,15,-0.5,0.9,"1.9%",134,"5.9%","5.0%",107,"8.8%",0,1.41,0.29,0.29
"Lilipp","Eintracht Spandau","Support",18,"78%","50%",12,43,178,4.4,"79.5%","5.0%","24.0%","44%",114,-120,2.2,1.1,"2.5%",173,"7.7%","6.4%",116,"9.2%",0,1.69,0.53,0.41
"Lurox","SK Gaming Prime","Jungle",17,"82%","65%",54,27,130,6.8,"66.2%","19.4%","18.1%","35%",30,24,-2.7,5.1,"13.7%",343,"13.5%","14.2%",219,"17.1%",2,0.28,0.27,0.31
"Mask","Unicorns of Love Sexy Edition","Middle",18,"78%","72%",57,45,126,4.1,"63.1%","19.7%","17.2%","6%",1,25,2.6,9.4,"28.3%",662,"25.4%","26.2%",300,"23.5%",0,0.35,0.14,0.3
"Matislaw","NNO Prime","Middle",18,"11%","50%",31,45,65,2.1,"69.1%","22.3%","16.6%","11%",25,52,0.8,8.8,"26.0%",533,"27.6%","27.0%",248,"23.6%",0,0.36,0.21,0.19
"Mishigu","FC Schalke 04 Esports","ADC",18,"50%","56%",59,37,103,4.4,"73.6%","26.8%","18.3%","39%",6,-11,-3.7,9.3,"33.7%",647,"30.9%","33.3%",306,"27.0%",0,0.36,0.16,0.27
"Nite","E WIE EINFACH E-SPORTS","Middle",18,"44%","33%",60,57,65,2.2,"55.1%","26.4%","20.5%","17%",-33,52,2.1,8.9,"28.0%",557,"26.3%","26.5%",285,"24.8%",0,0.33,0.1,0.15
"Notiko","NNO Prime","ADC",18,"11%","50%",43,62,54,1.6,"69.8%","30.9%","22.9%","17%",-269,-105,-5.6,8.7,"27.6%",512,"26.3%","29.1%",262,"24.4%",0,0.35,0.11,0.23
"Pann","E WIE EINFACH E-SPORTS","Support",18,"44%","50%",10,61,139,2.4,"65.6%","4.4%","21.9%","39%",24,-198,2.8,1.1,"2.6%",139,"6.8%","5.4%",100,"8.8%",0,1.6,0.45,0.33
"Phantomles","GamerLegion","Middle",17,"29%","59%",34,45,96,2.9,"59.9%","15.7%","18.3%","0%",-160,-166,-4.8,7.6,"21.1%",464,"23.4%","23.7%",226,"20.8%",0,0.5,0.18,0.26
"Pride","Eintracht Spandau","Top",18,"78%","67%",34,39,90,3.2,"51.9%","14.2%","21.8%","6%",-44,-50,-2.5,8.3,"23.2%",443,"19.1%","16.9%",269,"21.3%",0,0.53,0.23,0.15
"Prime","SK Gaming Prime","Support",17,"82%","53%",15,41,191,5,"74.1%","5.4%","27.5%","59%",47,126,-3.9,0.8,"1.7%",154,"6.1%","4.6%",119,"9.3%",0,1.5,0.45,0.3
"Rulfchen","Berlin International Gaming","Jungle",18,"61%","50%",59,46,132,4.2,"68.0%","21.0%","18.6%","33%",140,272,4.4,6.1,"18.2%",353,"16.0%","17.9%",239,"19.7%",2,0.26,0.23,0.39
"Sacre","FC Schalke 04 Esports","Top",18,"50%","61%",36,40,71,2.7,"48.6%","16.4%","19.8%","11%",55,93,3.9,7.8,"22.5%",438,"22.0%","19.9%",232,"21.0%",0,0.44,0.15,0.18
"Saviour","NNO Prime","Support",18,"11%","39%",7,75,87,1.3,"67.6%","5.0%","27.7%","17%",-187,-99,-0.5,1.1,"2.6%",125,"6.7%","5.7%",87,"8.4%",0,1.58,0.33,0.45
"Sayna","Unicorns of Love Sexy Edition","ADC",1,"100%","0%",11,2,7,9,"90.0%","55.0%","12.5%","0%",635,184,-2,9.5,"32.2%",1098,"40.5%","45.3%",377,"31.2%",0,0.49,0.16,0.27
"Seal","FC Schalke 04 Esports","Support",18,"50%","50%",11,47,170,3.9,"82.3%","5.0%","23.3%","61%",61,4,0.8,1.2,"3.1%",142,"7.3%","6.1%",111,"9.9%",0,1.83,0.48,0.43
"Sencux","MOUZ","Middle",18,"50%","50%",100,36,102,5.6,"75.9%","37.6%","16.1%","17%",40,130,-0.4,8.4,"25.7%",689,"31.3%","33.3%",300,"25.3%",0,0.39,0.17,0.21
"Simpli","FC Schalke 04 Esports","Middle",18,"50%","33%",74,37,78,4.1,"69.1%","33.6%","18.3%","33%",-63,15,-0.4,8.3,"26.1%",599,"28.7%","29.0%",282,"25.1%",0,0.33,0.17,0.22
"SMILEY","Eintracht Spandau","ADC",18,"78%","39%",73,30,95,5.6,"70.3%","30.5%","16.8%","33%",-86,42,-0.6,9.5,"29.6%",641,"28.1%","31.2%",323,"25.5%",0,0.44,0.11,0.32
"Special","Eintracht Spandau","Middle",18,"78%","67%",77,25,91,6.7,"70.3%","32.2%","14.0%","22%",361,278,8.9,10.2,"30.6%",700,"30.7%","31.3%",341,"27.1%",0,0.37,0.18,0.24
"Tazaku","E WIE EINFACH E-SPORTS","ADC",18,"44%","33%",86,43,86,4,"75.8%","37.9%","15.5%","33%",424,326,2.3,9.2,"32.7%",749,"34.8%","39.0%",338,"29.4%",0,0.41,0.14,0.24
